Date,Mkt-RF,SMB,HML,RMW,CMA,RF
20230803,-0.2,0.02,0.08,0.33,-0.34,0.02
20230804,-0.49,0.07,0.77,-0.17,-0.66,0.02
20230807,0.77,-1.08,0.57,0.66,-0.1,0.02
20230808,-0.47,0.11,0.12,0.51,0.03,0.02
20230809,-0.78,-0.02,-0.04,0.85,0.03,0.02
20230810,0.01,-0.45,-0.67,-0.02,-0.06,0.02
20230811,-0.11,0.25,0.47,-0.21,0.37,0.02
20230814,0.51,-0.85,-0.79,0.11,-0.63,0.02
20230815,-1.18,0,-1.04,0.19,0.05,0.02
20230816,-0.81,-0.48,-0.14,0.38,0.02,0.02
20230817,-0.87,-0.17,0.5,0.49,0.16,0.02
20230818,0.04,0.41,-0.22,0.07,-0.12,0.02
20230821,0.64,-0.88,-0.58,0.17,-0.87,0.02
20230822,-0.32,-0.01,-1.05,-0.33,-0.22,0.02
20230823,1.08,-0.22,-0.11,-0.38,-0.25,0.02
20230824,-1.43,0.01,0.62,0.53,0.4,0.02
20230825,0.65,-0.24,-0.58,-0.36,-0.17,0.02
20230828,0.63,0.09,0.41,0.26,0.03,0.02
20230829,1.5,-0.08,-0.11,-0.05,-0.44,0.02
20230830,0.41,0.09,-0.45,-0.42,-0.03,0.02
20230831,-0.08,-0.19,0.21,0.06,-0.26,0.02
20230901,0.26,0.84,0.59,-0.02,-0.2,0.021
20230905,-0.54,-1.58,-0.85,-0.32,-0.48,0.021
20230906,-0.71,0.02,-0.18,-0.45,0.1,0.021
20230907,-0.4,-0.69,0.03,-0.21,0,0.021
20230908,0.12,-0.51,0.39,0.29,0.01,0.021
20230911,0.66,-0.47,-0.53,-0.49,-0.34,0.021
20230912,-0.59,0.2,1.02,0.26,0.24,0.021
20230913,0.03,-0.87,-0.22,0.27,-0.36,0.021
20230914,0.84,0.49,0.86,0.83,0.02,0.021
20230915,-1.21,0.21,0.25,-0.32,0.48,0.021
20230918,-0.04,-0.81,-0.19,0.21,-0.05,0.021
20230919,-0.27,-0.11,-0.01,0.34,0.31,0.021
20230920,-0.95,-0.05,0.27,0.26,0.5,0.021
20230921,-1.69,0.34,0.38,0.55,0.14,0.021
20230922,-0.25,-0.09,-0.5,0.17,-0.18,0.021
20230925,0.39,-0.07,0.35,0.59,-0.46,0.021
20230926,-1.46,0.35,-0.5,-0.36,-0.08,0.021
20230927,0.13,0.78,0.12,0.18,-0.27,0.021
20230928,0.65,0.19,0.03,0.43,-0.03,0.021
20230929,-0.27,-0.02,0.3,-0.18,-0.15,0.021
20231002,-0.14,-1.28,-1.05,0.86,-0.52,0.021
20231003,-1.5,-0.26,-0.14,0.29,0.15,0.021
20231004,0.77,-0.53,-0.39,-0.39,-0.33,0.021
20231005,-0.15,0.28,0.08,-0.45,-0.12,0.021
20231006,1.21,-0.44,-0.55,-0.32,-0.52,0.021
20231009,0.58,-0.16,0.26,0.81,-0.38,0.021
20231010,0.61,0.32,0.64,-0.24,0.19,0.021
20231011,0.32,-0.65,0.39,0.64,-0.25,0.021
20231012,-0.81,-1.49,0.12,1.18,-0.22,0.021
20231013,-0.59,-0.35,0.06,0.08,0.46,0.021
20231016,1.14,0.58,-0.09,-0.36,-0.02,0.021
20231017,0.09,1.05,0.7,-0.07,0.33,0.021
20231018,-1.47,-0.6,-0.17,0.85,0.46,0.021
20231019,-0.92,-0.54,-0.22,-0.05,0,0.021
20231020,-1.32,0.08,-0.15,0.2,0.37,0.021
20231023,-0.23,-0.58,-0.78,0.17,-0.44,0.021
20231024,0.71,0.09,-0.58,-0.9,0.15,0.021
20231025,-1.58,-0.02,0.84,1.5,0.2,0.021
20231026,-1.15,1.19,1.66,-0.76,0.48,0.021
20231027,-0.53,-0.58,-0.57,0.42,-0.96,0.021
20231030,1.15,-0.34,0.28,-0.14,0.17,0.021
20231031,0.63,0.05,-0.08,-0.84,0.06,0.021
20231101,0.93,-0.68,-0.03,0.12,-0.71,0.021
20231102,1.95,0.71,1.64,-0.25,0.53,0.021
20231103,1.1,1.74,0.59,-1.18,0.18,0.021
20231106,0.01,-1.23,-0.65,0.88,-0.19,0.021
20231107,0.35,-0.41,-1.21,-1.31,-0.07,0.021
20231108,-0.04,-1,-0.44,0.44,0.04,0.021
20231109,-0.89,-1.01,0.49,0.54,-0.3,0.021
20231110,1.49,-0.62,-0.44,0.74,-0.35,0.021
20231113,-0.05,0.06,-0.27,-0.3,-0.18,0.021
20231114,2.18,3.22,1.18,-0.98,-0.23,0.021
20231115,0.18,0.13,0.49,-0.14,0.5,0.021
20231116,-0.11,-1.5,-0.31,-0.44,-0.37,0.021
20231117,0.25,1.22,0.62,0.03,0.37,0.021
20231120,0.73,-0.11,-0.28,-0.32,-0.31,0.021
20231121,-0.32,-0.96,-0.61,0.42,-0.03,0.021
20231122,0.42,0.2,-0.05,-0.38,0.01,0.021
20231124,0.11,0.62,0.19,-0.51,0.24,0.021
20231127,-0.23,-0.14,-0.08,0.12,-0.25,0.021
20231128,0.06,-0.3,0.05,-0.17,0.02,0.021
20231129,0.01,0.58,0.69,-0.78,-0.06,0.021
20231130,0.35,-0.41,0.01,-0.11,0.19,0.021
